Support Vector Machine, aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9230769230769231, 0.7045454545454546, 0.8461538461538461, 0.8358974358974359, 0.9367816091954023, 0.8888888888888888, 0.8736842105263158, 0.8558906929596585
r, 1.0, 0.7560975609756098, 0.9166666666666666, 0.8956043956043956, 0.9367816091954023, 1.0, 0.9205175600739371, 0.9175250387403456
f1, 0.9600000000000001, 0.7294117647058823, 0.8799999999999999, 0.8647214854111406, 0.9367816091954023, 0.9411764705882353, 0.8964896489648965, 0.8853485549834433

Naive Bayes, aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9210526315789473, 0.7333333333333333, 0.9545454545454546, 0.8492063492063492, 0.9186046511627907, 0.96, 0.8789473684210526, 0.8894570699711459
r, 0.8333333333333334, 0.8048780487804879, 0.5833333333333334, 0.5879120879120879, 0.4540229885057471, 1.0, 0.6173752310536045, 0.7105799653108317
f1, 0.875, 0.7674418604651163, 0.7241379310344828, 0.6948051948051949, 0.6076923076923078, 0.9795918367346939, 0.7252985884907709, 0.7747781884552992

Multi-layer Perceptron, aspect0, aspect1, aspect2, aspect3, aspect4, aspect5, micro, macro
p, 0.9545454545454546, 0.925, 0.9411764705882353, 0.9184782608695652, 0.9491525423728814, 0.96, 0.9379562043795621, 0.9413921213960227
r, 1.0, 0.9024390243902439, 0.8888888888888888, 0.9285714285714286, 0.9655172413793104, 1.0, 0.9500924214417745, 0.9475694305383119
f1, 0.9767441860465117, 0.9135802469135802, 0.9142857142857143, 0.9234972677595629, 0.9572649572649573, 0.9795918367346939, 0.9439853076216714, 0.9441607015008366
